"id","scale_denominator","mi","inom"
3062,250000,"0002","NB-20-Y-C"
3063,250000,"0093","SA-20-Z-A"
3064,250000,"0423","SE-22-X-D"
3065,250000,"0006","NB-21-Y-C"
3066,250000,"0433","SE-22-Y-A"
3067,250000,"0434","SE-22-Y-B"
3068,250000,"0446","SE-22-Y-C"
3069,250000,"0447","SE-22-Y-D"
3070,250000,"0284","SC-24-V-C"
3071,250000,"0285","SC-24-V-D"
3072,250000,"0491","SF-23-Z-B"
3073,250000,"0501","SF-23-Z-C"
3074,250000,"0094","SA-20-Z-B"
3075,250000,"0125","SA-23-Y-D"
3076,250000,"0105","SA-23-Z-A"
3077,250000,"0003","NB-20-Y-D"
3078,250000,"0007","NB-22-Y-D"
3079,250000,"0106","SA-23-Z-B"
3080,250000,"0126","SA-23-Z-C"
3081,250000,"0127","SA-23-Z-D"
3082,250000,"0107","SA-24-Y-A"
3083,250000,"0282","SC-23-X-C"
3084,250000,"0283","SC-23-X-D"
3085,250000,"0356","SD-21-X-C"
3086,250000,"0305","SC-23-Y-A"
3087,250000,"0306","SC-23-Y-B"
3088,250000,"0325","SC-23-Y-C"
3089,250000,"0326","SC-23-Y-D"
3090,250000,"0013","NA-19-X-C"
3091,250000,"0307","SC-23-Z-A"
3092,250000,"0308","SC-23-Z-B"
3093,250000,"0327","SC-23-Z-C"
3094,250000,"0328","SC-23-Z-D"
3095,250000,"0258","SC-24-V-A"
3096,250000,"0136","SB-20-V-A"
3097,250000,"0259","SC-24-V-B"
3098,250000,"0260","SC-24-X-A"
3099,250000,"0402","SE-21-V-A"
3100,250000,"0403","SE-21-V-B"
3101,250000,"0417","SE-21-V-D"
3102,250000,"0014","NA-19-X-D"
3103,250000,"0404","SE-21-X-A"
3104,250000,"0405","SE-21-X-B"
3105,250000,"0418","SE-21-X-C"
3106,250000,"0419","SE-21-X-D"
3107,250000,"0357","SD-21-X-D"
3108,250000,"0430","SE-21-Y-B"
3109,250000,"0443","SE-21-Y-D"
3110,250000,"0431","SE-21-Z-A"
3111,250000,"0432","SE-21-Z-B"
3112,250000,"0444","SE-21-Z-C"
3113,250000,"0445","SE-21-Z-D"
3114,250000,"0024","NA-19-Y-B"
3115,250000,"0406","SE-22-V-A"
3116,250000,"0407","SE-22-V-B"
3117,250000,"0420","SE-22-V-C"
3118,250000,"0370","SD-21-Y-A"
3119,250000,"0421","SE-22-V-D"
3120,250000,"0408","SE-22-X-A"
3121,250000,"0114","SA-20-Z-C"
3122,250000,"0115","SA-20-Z-D"
3123,250000,"0060","SA-21-V-A"
3124,250000,"0061","SA-21-V-B"
3125,250000,"0077","SA-21-V-C"
3126,250000,"0038","NA-19-Y-D"
3127,250000,"0078","SA-21-V-D"
3128,250000,"0062","SA-21-X-A"
3129,250000,"371","SD-21-Y-B"
3130,250000,"0063","SA-21-X-B"
3131,250000,"0079","SA-21-X-C"
3132,250000,"0080","SA-21-X-D"
3133,250000,"0095","SA-21-Y-A"
3134,250000,"0096","SA-21-Y-B"
3135,250000,"0116","SA-21-Y-C"
3136,250000,"0117","SA-21-Y-D"
3137,250000,"0097","SA-21-Z-A"
3138,250000,"0025","NA-19-Z-A"
3139,250000,"0098","SA-21-Z-B"
3140,250000,"0386","SD-21-Y-C"
3141,250000,"0118","SA-21-Z-C"
3142,250000,"0119","SA-21-Z-D"
3143,250000,"0064","SA-22-V-A"
3144,250000,"0065","SA-22-V-B"
3145,250000,"0081","SA-22-V-C"
3146,250000,"0082","SA-22-V-D"
3147,250000,"0066","SA-22-X-A"
3148,250000,"0067","SA-22-X-B"
3149,250000,"0394","SD-23-Y-C"
3150,250000,"0026","NA-19-Z-B"
3151,250000,"0387","SD-21-Y-D"
3152,250000,"0395","SD-23-Y-D"
3153,250000,"0380","SD-23-Z-A"
3154,250000,"0381","SD-23-Z-B"
3155,250000,"0396","SD-23-Z-C"
3156,250000,"0397","SD-23-Z-D"
3157,250000,"0349","SD-24-V-A"
3158,250000,"0350","SD-24-V-B"
3159,250000,"0366","SD-24-V-C"
3160,250000,"0367","SD-24-V-D"
3161,250000,"0351","SD-24-X-A"
3162,250000,"0372","SD-21-Z-A"
3163,250000,"0039","NA-19-Z-C"
3164,250000,"0368","SD-24-X-C"
3165,250000,"0382","SD-24-Y-A"
3166,250000,"0383","SD-24-Y-B"
3167,250000,"0398","SD-24-Y-C"
3168,250000,"0399","SD-24-Y-D"
3169,250000,"0384","SD-24-Z-A"
3170,250000,"0467","SF-24-V-A"
3171,250000,"0544","SH-21-Z-D"
3172,250000,"0527","SH-22-V-A"
3173,250000,"0214","SB-19-Z-D"
3174,250000,"0373","SD-21-Z-B"
3175,250000,"0528","SH-22-V-B"
3176,250000,"0040","NA-19-Z-D"
3177,250000,"0534","SH-22-V-C"
3178,250000,"0535","SH-22-V-D"
3179,250000,"0529","SH-22-X-A"
3180,250000,"0530","SH-22-X-B"
3181,250000,"0536","SH-22-X-C"
3182,250000,"0536-A","SH-22-X-D"
3183,250000,"0540","SH-22-Y-A"
3184,250000,"0541","SH-22-Y-B"
3185,250000,"0388","SD-21-Z-C"
3186,250000,"0468","SF-24-V-B"
3187,250000,"0480","SF-24-V-C"
3188,250000,"0007-A","NA-20-V-A"
3189,250000,"0492","SF-24-Y-A"
3190,250000,"0503","SG-21-X-B"
3191,250000,"0510","SG-21-X-D"
3192,250000,"0520","SG-21-Z-D"
3193,250000,"0504","SG-22-V-A"
3194,250000,"0505","SG-22-V-B"
3195,250000,"0511","SG-22-V-C"
3196,250000,"0389","SD-21-Z-D"
3197,250000,"0512","SG-22-V-D"
3198,250000,"0506","SG-22-X-A"
3199,250000,"0507","SG-22-X-B"
3200,250000,"0001","NB-20-Z-B"
