"id","label","iso_xml_path","field_type","is_static","possible_values","default_value","comments","old_path"
1,"Identificador metadados","MD_Metadata-fileIdentifier","string","TRUE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:fileIdentifier/gco:CharacterString>"
2,"Responsável pelas informações de metadados/CREA","MD_Metadata-contact-individualName","string","FALSE",,,"Buscar na api do cadastro geral. Responsável pelo metadado.","/gmd:MD_Metadata/gmd:contact[1]/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString"
3,"Função do responsável","MD_Metadata-contact-positionName","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pelo metadado.","/gmd:MD_Metadata/gmd:contact[1]/gmd:CI_ResponsibleParty/gmd:positionName/gco:CharacterString"
4,"Nome da organização","MD_Metadata-contact-organisationName","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pelo metadado.","/gmd:MD_Metadata/gmd:contact[1]/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString"
5,"Endereço eletrônico da organização","MD_Metadata-contact-contactInfo-onlineResource-linkage","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pelo metadado.","/gmd:MD_Metadata/gmd:contact[1]/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/gmd:URL"
6,"Função da organização","MD_Metadata-contact-role","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pelo metadado.","/gmd:MD_Metadata/gmd:contact[1]/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode"
7,"Data de preenchimento","MD_Metadata-dateStamp","date","FALSE",,,"Preencher com data do dia","/gmd:MD_Metadata/gmd:dateStamp/gco:date"
8,"Idioma","MD_Metadata-language","string","TRUE",,"Pt-BR",,"/gmd:MD_Metadata/gmd:language/gco:CharacterString"
9,"Conjunto de caracteres","MD_Metadata-characterSet","string","TRUE",,"utf8",,"/gmd:MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode"
10,"Padrão de metadados","MD_Metadata-metadataStandardName","string","TRUE",,"ISO19115",,"/gmd:MD_Metadata/gmd:metadataStandardName/gco:CharacterString"
11,"Versão do padrão","MD_Metadata-metadataStandardVersion","string","TRUE",,2003,,"/gmd:MD_Metadata/gmd:metadataStandardVersion/gco:CharacterString"
12,"Nível hierárquico","MD_Metadata-hierarchyLevel","string","TRUE",,"conjuntoDeDadosGeograficos",,"/gmd:MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode"
13,"Manutenção metadados","MD_Metadata-metadataMaintenance-maintenanceAndUpdateFrequency","string","TRUE",,"irregular",,"/gmd:MD_Metadata/gmd:metadataMaintenance/gmd:MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode"
14,"Grau de sigilo","MD_SecurityConstraints-classification-2","string","TRUE",,"ostensivo",,"/gmd:MD_Metadata/gmd:metadataConstraints[1]/gmd:MD_SecurityConstraints/gmd:classification"
15,"Projeto","MD_Identification-citation-collectiveTitle","string","FALSE",,,"Buscar na api do cadastro geral","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:collectiveTitle/gco:CharacterString"
16,"Nome da carta","MD_Identification-citation-alternateTitle1","string","FALSE",,,,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:alternateTitle[1]/gco:CharacterString"
17,"Título","MD_Identification-citation-title","string","TRUE",,,"gerar compondo nome, mi e escala","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title/gco:CharacterString"
18,"Índice de nomenclatura","MD_Identification-citation-alternateTitle2","string","TRUE",,,"Gerar na api de upload","/gmd:gmd:MD_Metadata/gmd:gmd:identificationInfo/gmd:gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:alternateTitle[2]/gco:CharacterString"
19,"MI do produto","MD_Identification-citation-alternateTitle3","string","TRUE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:alternateTitle[3]/gco:CharacterString"
20,"Data de criação","MD_Identification-citation-date-date","date","FALSE",,,,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date[1]/gmd:CI_Date/gco:date"
21,"Tipo de data","MD_Identification-citation-date-dateType","string","TRUE",,"criação",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date[1]/gmd:CI_Date/gmd:dateType"
22,"Edição","MD_Identification-citation-edition","string","FALSE",,"1ª Edição",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:edition/gco:CharacterString"
23,"Data de edição","MD_Identification-citation-editionDate","date","FALSE",,,"dia do preenchimento","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:editionDate/gco:date"
24,"Tipo de data","MD_Identification-citation-edition-date-dateType","string","TRUE",,"publicação",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date[1]/gmd:CI_Date/gmd:dateType"
25,"Nome da série","MD_Identification-citation-series-name","string","TRUE",,,"Preencher com o que foi selecionado anteriormente (tipo de produto)","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gco:CharacterString"
26,"Resumo sobre a finalidade do produto","MD_Identification-abstract","string","FALSE",,"Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString"
27,"Propósito original da criação do produto","MD_Identification-purpose","string","FALSE",,,,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:purpose/gco:CharacterString"
28,"Créditos","MD_Identification-credit","string","FALSE",,,,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:credit[1]/gco:CharacterString"
29,"Situação","MD_Identification-status","string","TRUE",,"concluido",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:status/gmd:MD_ProgressCode"
30,"Escala de uso prevista","MD_DataIdentification-spatialResolution-equivalentScale-denominator1","int","FALSE","1000, 2000, 5000, 10000, 25000, 50000, 100000, 250000, 500000, 1000000",,"Gerar na api de upload","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:spatialResolution[1]/gmd:MD_Resolution/gmd:equivalentScale/gco:Integer"
31,"Maior escala para utilização do conjunto de dado","MD_DataIdentification-spatialResolution-equivalentScale-denominator2","int","TRUE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:spatialResolution[2]/gmd:MD_Resolution/gmd:equivalentScale/gco:Integer"
32,"Idioma","MD_DataIdentification-language","string","TRUE",,"pt-BR",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:language/gco:CharacterString"
33,"Conjunto de caracteres","MD_DataIdentification-characterSet","string","TRUE",,"utf8",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:characterSet[1]/gmd:MD_CharacterSetCode"
34,"Tópico da categoria","MD_DataIdentification-topicCategory","string","TRUE",,"cartografiaDeBaseCoberturasAereasImagensSatelite",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:topicCategory[1]/gmd:MD_TopicCategoryCode"
35,"Latitude norte","MD_DataIdentification-extent-geographicElement1-northBoundLatitude","float","FALSE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent[1]/gmd:EX_Extent/gmd:geographicElement[1]/gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal"
36,"Longitude oeste","MD_DataIdentification-extent-geographicElement1-westBoundLongitude","float","FALSE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent[1]/gmd:EX_Extent/gmd:geographicElement[1]/gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal"
37,"Longitude leste","MD_DataIdentification-extent-geographicElement1-eastBoundLongitude","float","FALSE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent[1]/gmd:EX_Extent/gmd:geographicElement[1]/gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal"
